NodeId,Timestamp,Temperatura,Humedad,Luz,Voltaje,DesviacionTemp,Anomalia,LecturasInvalidas
1,2004-02-28 00:00:00,19.99,37.09,45.1,2.7,0.39,0,0
1,2004-02-28 01:00:00,19.03,38.89,43.7,2.694,0.55,0,0
1,2004-02-28 02:00:00,18.73,38.91,43.2,2.692,0.63,0,0
1,2004-02-28 03:00:00,18.4,39.04,43.2,2.688,0.68,0,0
1,2004-02-28 04:00:00,18.09,39.08,43.2,2.684,0.78,0,0
1,2004-02-28 05:00:00,17.8,39.12,43.2,2.679,0.83,0,0
1,2004-02-28 06:00:00,17.62,39.24,44.5,2.677,0.9,0,0
1,2004-02-28 07:00:00,17.86,38.77,288.5,2.678,0.45,0,0
1,2004-02-28 08:00:00,19.47,36.28,402.2,2.692,0.19,0,0
1,2004-02-28 09:00:00,21.96,32.57,458.5,2.717,0.61,0,0
1,2004-02-28 10:00:00,23.6,30.79,499.6,2.734,0.71,0,0
1,2004-02-28 11:00:00,24.43,30.32,480.2,2.745,1.07,0,0
1,2004-02-28 12:00:00,24.66,30.46,434,2.748,0.97,0,0
1,2004-02-28 13:00:00,24.8,30.56,391.6,2.749,0.39,0,0
1,2004-02-28 14:00:00,23.98,31.93,301,2.742,-0.22,0,0
1,2004-02-28 15:00:00,23.29,32.9,214,2.735,-0.46,0,0
1,2004-02-28 16:00:00,22.26,34.45,139,2.725,-0.65,0,0
1,2004-02-28 17:00:00,21.45,36.02,70.5,2.717,-0.42,0,0
1,2004-02-28 18:00:00,20.87,37.02,43.9,2.707,-0.11,0,0
1,2004-02-28 19:00:00,20.47,37.7,44,2.702,0.02,0,0
1,2004-02-28 20:00:00,20.24,38.28,44.5,2.7,0.12,0,0
1,2004-02-28 21:00:00,19.94,38.55,44,2.699,0.19,0,0
1,2004-02-28 22:00:00,19.61,38.77,43.5,2.693,0.32,0,0
1,2004-02-28 23:00:00,19.34,38.89,44.3,2.69,0.64,0,0
1,2004-02-29 00:00:00,19.06,39.09,43.7,2.687,0.74,0,0
1,2004-02-29 01:00:00,18.7,39.62,43.2,2.683,0.99,0,0
1,2004-02-29 02:00:00,18.39,40.31,43.2,2.676,1.07,0,0
1,2004-02-29 03:00:00,18.12,41.01,43.2,2.675,1.09,0,0
1,2004-02-29 04:00:00,17.91,41.73,43.2,2.672,1.09,0,0
1,2004-02-29 05:00:00,17.7,42.45,43.2,2.667,1.13,0,0
1,2004-02-29 06:00:00,17.51,43.08,44.7,2.663,1.21,0,0
1,2004-02-29 07:00:00,17.49,43.38,86.1,2.662,1.22,0,0
1,2004-02-29 08:00:00,18.6,41.18,388,2.672,0.13,0,0
1,2004-02-29 09:00:00,20.3,38.28,297.7,2.689,0.29,0,0
1,2004-02-29 10:00:00,20.67,38.23,352.2,2.691,0.28,0,0
1,2004-02-29 11:00:00,21.2,38.03,301.5,2.697,0.24,0,0
1,2004-02-29 12:00:00,21.12,38.84,263.8,2.697,0.04,0,0
1,2004-02-29 13:00:00,21.32,38.88,300.3,2.698,0.08,0,0
1,2004-02-29 14:00:00,21.22,39.2,235.1,2.697,-0.05,0,0
1,2004-02-29 15:00:00,20.58,40.79,132.3,2.689,-0.12,0,0
1,2004-02-29 16:00:00,19.99,41.53,88.8,2.685,-0.01,0,0
1,2004-02-29 17:00:00,19.67,41.65,62.1,2.681,0.02,0,0
1,2004-02-29 18:00:00,19.34,41.79,44.4,2.677,0.13,0,0
1,2004-02-29 19:00:00,19.1,41.88,43.9,2.674,0.13,0,0
1,2004-02-29 20:00:00,18.93,42.02,43.6,2.671,0.2,0,0
1,2004-02-29 21:00:00,18.83,42.2,44.2,2.671,0.28,0,0
1,2004-02-29 22:00:00,18.69,42.49,44.1,2.668,0.27,0,0
