NodeId,X,Y,Grupo,Estado,PrimeraLectura,UltimaLectura,HorasReportadas,LecturasValidas,LecturasInvalidas,CoberturaPct
1,21.5,23,3,offline,2004-02-28 00:00:00,2004-03-31 04:00:00,731,36911,6136,94.6
2,24.5,20,3,offline,2004-02-28 01:00:00,2004-04-01 04:00:00,755,38267,8648,94.8
3,19.5,19,3,offline,2004-02-28 00:00:00,2004-03-31 03:00:00,731,41210,5424,94.7
4,22.5,15,3,offline,2004-02-28 01:00:00,2004-03-30 07:00:00,710,33622,10171,94.5
5,24.5,12,,offline,2004-02-28 02:00:00,2004-03-03 17:00:00,31,0,35,27.7
6,19.5,12,3,offline,2004-02-28 00:00:00,2004-03-29 17:00:00,696,25948,9718,94.3
7,22.5,8,3,offline,2004-02-28 01:00:00,2004-04-01 23:00:00,774,43802,11559,95
8,24.5,4,2,offline,2004-02-28 01:00:00,2004-03-14 17:00:00,296,15794,984,78.5
9,21.5,2,2,offline,2004-02-28 01:00:00,2004-04-01 23:00:00,774,37444,12446,95
10,19.5,5,3,offline,2004-02-28 01:00:00,2004-04-01 23:00:00,774,35205,11960,95
11,16.5,3,2,offline,2004-02-28 01:00:00,2004-03-31 04:00:00,731,34517,7318,94.7
12,13.5,1,2,offline,2004-02-28 00:00:00,2004-03-29 06:00:00,686,16514,6564,94.4
13,12.5,5,3,offline,2004-02-28 01:00:00,2004-03-31 00:00:00,726,22085,9420,94.5
14,8.5,6,2,offline,2004-02-28 01:00:00,2004-03-31 06:00:00,732,22357,9447,94.6
15,5.5,3,2,offline,2004-02-28 01:00:00,2004-03-03 20:00:00,74,1801,536,63.8
16,1.5,2,2,offline,2004-02-28 01:00:00,2004-03-21 18:00:00,501,25921,8679,91.8
17,1.5,8,2,offline,2004-02-28 01:00:00,2004-03-21 02:00:00,480,28155,5631,90.6
18,5.5,10,3,offline,2004-02-28 00:00:00,2004-03-15 16:00:00,378,21250,14062,94.3
19,3.5,13,3,offline,2004-02-28 00:00:00,2004-03-25 11:00:00,594,29760,9699,93.4
20,0.5,17,2,offline,2004-02-28 00:00:00,2004-03-15 02:00:00,300,28811,24,77.5
21,4.5,18,1,offline,2004-02-28 01:00:00,2004-03-30 06:00:00,706,50092,8433,94.1
22,1.5,23,1,offline,2004-02-28 00:00:00,2004-03-30 09:00:00,711,55348,4817,94.3
23,6,24,4,offline,2004-02-28 00:00:00,2004-04-02 15:00:00,789,48827,13613,94.8
24,1.5,30,1,offline,2004-02-28 00:00:00,2004-04-02 02:00:00,778,42061,15301,95
25,4.5,30,1,offline,2004-02-28 00:00:00,2004-04-02 01:00:00,777,43523,9652,95
26,7.5,31,4,offline,2004-02-28 00:00:00,2004-04-01 22:00:00,773,43821,17700,94.8
27,8.5,26,3,offline,2004-02-28 00:00:00,2004-03-31 05:00:00,733,28329,9299,94.7
28,10.5,31,,offline,2004-02-28 00:00:00,2004-03-30 21:00:00,725,0,46441,94.6
29,12.5,26,3,offline,2004-02-28 00:00:00,2004-04-01 23:00:00,775,47641,16750,95
30,13.5,31,3,offline,2004-02-28 01:00:00,2004-04-01 23:00:00,773,25356,15773,94.8
31,15.5,28,3,offline,2004-02-28 00:00:00,2004-03-30 23:00:00,723,52964,12730,94.1
32,17.5,31,3,offline,2004-02-28 00:00:00,2004-03-29 05:00:00,685,30347,12746,94.4
33,19.5,26,3,offline,2004-02-28 00:00:00,2004-04-01 01:00:00,753,26214,9535,94.8
34,21.5,30,2,degraded,2004-02-28 00:00:00,2004-04-03 16:00:00,777,34539,14247,90.7
35,24.5,27,2,offline,2004-02-28 01:00:00,2004-03-26 03:00:00,610,38442,12896,93.7
36,26.5,31,2,offline,2004-02-28 01:00:00,2004-04-01 23:00:00,773,45619,12124,94.8
37,27.5,26,2,offline,2004-02-28 01:00:00,2004-04-01 23:00:00,772,34922,13007,94.7
38,30.5,31,1,offline,2004-02-28 01:00:00,2004-04-01 23:00:00,773,38049,11112,94.8
39,30.5,26,3,offline,2004-02-28 01:00:00,2004-04-01 23:00:00,770,26544,6196,94.5
40,33.5,28,3,offline,2004-02-28 00:00:00,2004-04-01 23:00:00,773,40074,6550,94.7
41,36.5,30,3,offline,2004-02-28 01:00:00,2004-04-01 23:00:00,767,37051,3786,94.1
42,39.5,30,3,offline,2004-02-28 01:00:00,2004-04-01 23:00:00,755,39348,5671,92.6
43,35.5,24,3,offline,2004-02-28 00:00:00,2004-04-01 19:00:00,767,33070,7980,94.5
44,40.5,22,3,offline,2004-02-28 01:00:00,2004-04-01 23:00:00,753,44651,3981,92.4
45,37.5,19,2,offline,2004-02-28 01:00:00,2004-03-24 05:00:00,562,53225,20,92.9
46,34.5,16,3,offline,2004-02-28 01:00:00,2004-03-30 22:00:00,698,47204,5784,91.1
47,39.5,14,2,offline,2004-02-28 01:00:00,2004-04-01 23:00:00,734,54683,2518,90.1
48,35.5,10,2,offline,2004-02-28 01:00:00,2004-04-01 23:00:00,746,55861,2365,91.5
49,39.5,6,4,offline,2004-02-28 01:00:00,2004-04-01 10:00:00,724,31498,9543,90.3
50,38.5,1,2,offline,2004-02-28 01:00:00,2004-03-11 18:00:00,283,15737,4,92.5
51,35.5,4,3,offline,2004-02-28 00:00:00,2004-03-31 02:00:00,717,36845,5414,93
52,31.5,6,4,offline,2004-02-28 00:00:00,2004-04-01 03:00:00,744,30018,4049,93.5
53,28.5,5,2,offline,2004-02-28 01:00:00,2004-03-31 07:00:00,731,22290,5841,94.3
54,26.5,2,2,offline,2004-02-28 01:00:00,2004-03-31 11:00:00,732,22937,12447,94
